merchant_name,mcc,address,geo_coordinates,org_name,org_description,website,source_url
BEREZKA,5411,,,Магазин Березка,"""Березка"" - региональная розничная торговая сеть, которая начала работать с 2008 год, одна из крупнейших организаций по всей Коми. Торговая сеть насчитывает 19 магазинов, основной формат - супермаркет. Сеть ""Березка"" располагается во многих регионах республики Ухта, Вуктыл, Сосногорск, Водный и Чиньяворык. Сайта нет, страница в контакте.",https://vk.com/berezkatc?ysclid=m4jv11dmv27151997,https://merchantpoint.ru/brand/4370
MAGAZIN SOM,5200,,,Магазин СОМ,"Сеть магазинов строительных отделочных материалов ""СОМ"" Магазины сети строительных и отделочных материалов ""СОМ"" расположены в Свердловской области в следующих городах: Нижний Тагил, Невьянск, Каменск-Уральский, Красноуфимск, Полевской, Нижняя Тура, Первоуральск, Новоуральск, Ревда, Верхняя Салда, Богданович, Заречный, Качканар, Сухой Лог. В Тюменской области: Тобольск. В Ростовской области - г. Таганрог, г. Шахты. В Ставропольском крае: г. Невинномысск, г. Пятигорск. В Курганской области: г. Шадринск. В Краснодарском крае: г. Ейск. Волгоградская область — г. Михайловка. Магазин ""СОМ"" также открыт в Ханты-Мансийском автономном округе, в городе Нижневартовск, Нягань, Ханты-Мансийск, Нефтеюганск, г. Урай, г. Югорск.",https://som1.ru/,https://merchantpoint.ru/brand/4371
"EVROPEY KARL LAGERFELD,KARL LAGERFELD,KARL LAGERFELD GALERIA,KARL LAGERFELD.","5691,5699",,,Karl Lagerfeld,"Karl Lagerfeld — это бренд премиальной одежды, обуви и аксессуаров, сочетающий культовый стиль с современной элегантностью. Каждая коллекция отражает уникальное видение Карла Лагерфельда, знаменитого своими инновационными дизайнами и смелыми решениями. Ассортимент бренда включает: - Одежду для женщин и мужчин с акцентом на утонченность и комфорт. - Элегантные аксессуары, включая сумки, часы и украшения. - Обувь, идеально дополняющую любой образ. Продукция **Karl Lagerfeld** отличается качественными материалами, идеальной посадкой и узнаваемым стилем. Выберите изысканный дизайн, который подчеркивает вашу индивидуальность.",https://www.karl.com,https://merchantpoint.ru/brand/4372
"KARL LAGERFELD JEANS,KARL LAGERFELDJEANS,KL JEANS GORIZONT,KL JEANS METROPOLIS","5651,5691,5699",,,Karl Lagerfeld Jeans,"Karl Lagerfeld Jeans — это сочетание легендарного стиля и повседневной практичности. Линия предлагает современную джинсовую одежду, отражающую ДНК бренда — смелость, утонченность и внимание к деталям. В коллекции представлены: Джинсы с идеальной посадкой и актуальными силуэтами. Футболки, рубашки и куртки с фирменным дизайном. Аксессуары, дополняющие ваш стиль. Karl Lagerfeld Jeans создан для тех, кто ценит комфорт и уникальность в каждой детали. Это одежда, которая подчеркнет вашу индивидуальность и добавит уверенности в повседневной жизни.",https://www.karl.com,https://merchantpoint.ru/brand/4373
"PAPER SHOP,PAPER SHOP FASH. HOUSE,PAPER SHOP NOVAYA RIGA,PAPER SHOP ORDZHONIKID,PAPER SHOP OUTLET BD",5699,,,Paper Shop,"Paper Shop — это место, где собраны коллекции прошлых сезонов от известных мировых брендов, таких как Calvin Klein, Tommy Hilfiger, Mexx, Richmond X, Karl Lagerfeld и многих других. Мы регулярно обновляем ассортимент, чтобы вы могли находить стильные вещи и аксессуары культовых марок по привлекательным ценам. br /> В магазине Paper Shop вас ждут выгодные скидки от 30% до 70%, что делает премиальные бренды доступнее. br /> Для вашего удобства часть ассортимента доступна для покупки онлайн — выбирайте свои любимые вещи, не выходя из дома.",https://bns-club.ru/brands/paper-shop/,https://merchantpoint.ru/brand/4374
"REPLAY  EVROPEJSKIJ,REPLAY AVIAPARK,REPLAY FASHION HOUSE,REPLAY METROPOLIS,REPLAY ORDZHONIKIDZE",5699,,,Replay,"Replay — это итальянский бренд, который славится высоким качеством и современным стилем. Магазин Replay предлагает одежду, обувь и аксессуары, сочетающие комфорт, долговечность и узнаваемый дизайн. Ассортимент включает: - Джинсы и деним: знаковые модели, созданные с использованием передовых технологий и экологически чистых материалов. - Одежду для женщин и мужчин: футболки, рубашки, куртки и платья, идеально подходящие для повседневной жизни и ярких событий. - Обувь и аксессуары: стильные кроссовки, ремни, сумки и другие детали, дополняющие ваш образ. Бренд Replay ориентирован на тех, кто ценит качество, стиль и внимание к деталям. Вещи Replay подчеркивают индивидуальность и подходят для активного образа жизни. Выбирайте актуальную моду, которая не выходит из трендов!",https://www.replayjeans.com,https://merchantpoint.ru/brand/4375
"COCCINELLE,COCCINELLE AVIAPARK,COCCINELLE EVROPEJSKIJ,COCCINELLE GALERIA,COCCINELLE METROPOLIS",5699,,,Coccinelle,"Coccinelle — это итальянский бренд, который олицетворяет элегантность, качество и современный стиль. Основанный в 1978 году, Coccinelle быстро завоевал популярность благодаря своим уникальным аксессуарам и сумкам, которые идеально сочетают в себе традиционные ремесленные техники и современные тренды. Каждое изделие Coccinelle создается с особым вниманием к деталям и использованию высококачественных материалов. Бренд предлагает широкий ассортимент продукции: от изысканных сумок и кошельков до стильных рюкзаков и аксессуаров. Каждая коллекция отражает итальянскую страсть к моде и стремление к совершенству, что делает продукцию Coccinelle идеальным выбором для современных женщин, ценящих стиль и функциональность. Coccinelle — это не просто бренд, это философия, основанная на стремлении создавать вещи, которые вдохновляют и подчеркивают индивидуальность каждой женщины. Мы приглашаем вас открыть для себя мир Coccinelle, где каждый аксессуар рассказывает свою историю и добавляет штрих элегантности в ваш образ.",https://www.coccinelle.com,https://merchantpoint.ru/brand/4376
"JEANS CLUB,JEANS CLUB ATRIUM,JEANS CLUB AURA,JEANS CLUB AURA SURGUT,JEANS CLUB AVIAPARK",5699,,,JEANS CLUB,"JEANS CLUB – сеть мультибрендовых магазинов одежды для мужчин и женщин. Одним из основных преимуществ является многообразие премиальных брендов, представленных в ассортименте – Calvin Klein Jeans, Karl Lagerfeld Jeans, Antony Morato, Diesel, Replay и многие другие. В ассортименте также представлены аксессуары, нижнее белье.",https://bns-group.ru/jeans-club,https://merchantpoint.ru/brand/4377
DKNY AVIAPARK,5699,,,DKNY,"DKNY — Нью-Йоркский стиль, который вдохновляет Добро пожаловать в мир DKNY (Donna Karan New York) — бренд, который олицетворяет динамичную энергетику и уникальность Нью-Йорка. Основанный в 1984 году дизайнером Донной Каран, DKNY стал синонимом современного городского стиля, сочетая в себе утонченность, комфорт и практичность. Наша философия: DKNY стремится создавать одежду для современных женщин и мужчин, которые ведут активный образ жизни и ценят стиль. Мы вдохновляемся многообразием городской культуры, чтобы предложить коллекции, отражающие индивидуальность каждого человека. Наша одежда подходит для любого случая — от деловых встреч до вечерних выходов. Качество и инновации: Разнообразие стилей: В ассортименте DKNY вы найдете широкий выбор одежды, обуви и аксессуаров. От элегантных платьев и классических костюмов до повседневной одежды и спортивных комплектов — каждая коллекция создана с акцентом на универсальность и стиль. Глобальная ответственность: Мы осознаем свою ответственность перед обществом и окружающей средой. DKNY активно внедряет устойчивые практики в производственный процесс, стремясь минимизировать воздействие на природу и поддерживать этические стандарты. Присоединяйтесь к нам! С DKNY вы не просто носите одежду — вы выражаете свою индивидуальность и стиль. Откройте для себя мир моды, вдохновленный духом Нью-Йорка, и создайте свой уникальный образ с DKNY! DKNY — стиль, который движется вперед!",https://www.dkny.com,https://merchantpoint.ru/brand/4378
ZAPOMNISYSTEMS,7922,Онлайн,,Zapomni,Zapomni - сервис продажи сертификатов и билетов в лучшие учреждения культуры,https://tickets.zapomni.ru/,https://merchantpoint.ru/brand/4379
